"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"81","70 01 Percent or Over","33/1","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,33,1,0.0294117647058824,2016-04-18,"United Kingdom"
"82","45 01  50 0 Percent","3/1","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,3,1,0.25,2016-04-18,"United Kingdom"
"83","40 01  45 0 Percent","10/1","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,10,1,0.0909090909090909,2016-04-18,"United Kingdom"
"84","60 01  65 0 Percent","11/2","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,11,2,0.153846153846154,2016-04-18,"United Kingdom"
"85","40 Percent or Under","20/1","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,20,1,0.0476190476190476,2016-04-18,"United Kingdom"
"86","65 01  70 0 Percent","18/1","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,18,1,0.0526315789473684,2016-04-18,"United Kingdom"
"87","Remain","1/2","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,1,2,0.666666666666667,2016-04-18,"United Kingdom"
"88","Leave","21/10","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,21,10,0.32258064516129,2016-04-18,"United Kingdom"
"89","50 01  55 0 Percent","2/1","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-18,"United Kingdom"
"90","70 01 Percent or Over","33/1","2016-04-18T21:53:10Z","https://web.archive.org/web/20160418215310/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,33,1,0.0294117647058824,2016-04-18,"United Kingdom"
